URL	LINE	DELETE OR NOT	
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gza/wordfrom/nonsense.gza.txt	chorus with his old nonsense		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ghfkilla/wallets/showers.ghf.txt	   [ghostface talking through chorus)		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gr_puba/reel/big_kids.gpm.txt	how the chorus go	the big kids don't play	
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gr_puba/under/stand.gpm.txt	chorus 3rd time w/ fade out halfway		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/grouphme/a_tear/be_like.grh.txt	chorus lil dap & agallah		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/grouphme/a_tear/legacy.grh.txt	chorus melachi the nutcracker guru 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/grouphme/a_tear/makelife.grh.txt	chorus 2x lil dap & agallah		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/grouphme/lvnproof/lvnproof.grh.txt	chorus + to kick the truth to the young black youth		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gngstarr/jzzmtzz2/nobody.gru.txt	chorus shara nelson and guru 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gngstarr/jzzmtzz2/nobody.gru.txt	chorus shara nelson and guru		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gngstarr/jzzmtzz2/nobody.gru.txt	chorus shara nelson and guru		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gngstarr/jzzmtzz2/nobody.gru.txt	chorus shara nelson and guru 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gngstarr/jzzmtzz2/nobody.gru.txt	chorus shara nelson and guru 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gngstarr/jzzmtzz2/weapons.gru.txt	chorus guru and stikken moov 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/heatherb/takin/allglock.hea.txt	chorus     glocks down hit'em with that funky sound		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/heavy_d/big_tyme/we_got.hvd.txt	[intro/chorus - teddy riley 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/house_of/hse_pain/top_morn.hse.txt	chorus everlast + cheech and chong scratches		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ice_cube/predator/check_yo.cub.txt	chorus one das efx and ice cube		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ice_cube/predator/check_yo.cub.txt	chorus two das efx and ice cube		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ice_cube/predator/check_yo.cub.txt	chorus three das efx and ice cube		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ice_cube/death/mansbest.cub.txt	chorus samples  2 4 simultaneously		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ice_cube/death/mansbest.cub.txt	chorus + cube saying man's best friend after 3 first time		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ice_cube/war/peckin.cub.txt	chorus ice cube mack 10		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ice_cube/war/warpeace.cub.txt	chorus singer interprets no doubt's don't speak		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ice_cube/war/weight.cub.txt	chorus  ice cube and mr short khop		
